flag_URL,host_country,event,year,artist_country,artist,song,rank,total_points
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Malmö ,1992,Malta,Mary Spiteri,Little Child,3,123
https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,Ukraine,Kyiv ,2017,Moldova,Sunstroke Project,Hey Mamma,3,374
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,The Hague ,1976,Monaco,Mary Christy,"Toi, La Musique Et Moi",3,93
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1971,Monaco,Séverine,"Un Banc, Un Arbre, Une Rue",1,128
https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Denmark,Copenhagen ,1964,Monaco,Romuald,Où Sont-elles Passées?,3,15
https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxembourg,Luxembourg ,1962,Monaco,François Deguelt,Dis Rien,2,13
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,London ,1960,Monaco,François Deguelt,Ce Soir-là,3,15
https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Israel,Tel Aviv ,2019,Netherlands,Duncan Laurence,Arcade,1,498
https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Denmark,Copenhagen ,2014,Netherlands,The Common Linnets,Calm After The Storm,2,238
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Stockholm ,1975,Netherlands,Teach-In,Ding-A-Dong,1,152
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Brighton ,1974,Netherlands,Mouth and MacNeal,I See A Star,3,15
https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,Spain,Madrid ,1969,Netherlands,Lenny Kuhr,De Troubadour,1,18
